Scheme Name,Description,Required Documents,Eligible Gender,Age,Annual Income,Educational Qualification,Beneficiary Amount,Central/State,Official Portal Link
Pradhan Mantri Adarsh Gram Yojana,Integrated development of villages with significant SC population.,Village Records,All,Not applicable,Not applicable,Not applicable,Village infrastructure development,Central,https://rural.nic.in
Venture Capital Fund for Scheduled Castes,Equity support to SC entrepreneurs for business growth.,"Aadhaar Card, Caste Certificate, Business Plan",All,18+,No limit,Not required,Equity/venture capital assistance,Central,https://nsfdc.nic.in
Kanya Vidya Dhan Yojana,Financial assistance to meritorious girl students for higher education.,"Aadhaar Card, Mark Sheet, Income Certificate",Female,Any age,"Up to Rs 2,00,000",Class 12 pass,"Rs 30,000 lump sum",State (Uttar Pradesh),https://scholarship.up.gov.in
Mukhyamantri Kanya Sumangala Yojana,Financial assistance to girl child from birth to graduation.,"Aadhaar Card, Birth Certificate, Income Certificate",Female,0-21,"Up to Rs 3,00,000",Not required for initial installments,"Rs 15,000 across installments",State (Uttar Pradesh),https://mksy.up.gov.in
UP Vidhwa Pension Yojana,Monthly pension for widows in Uttar Pradesh.,"Aadhaar Card, Death Certificate, Income Certificate",Female,18+,"Up to Rs 2,00,000",Not required,"Rs 1,000 per month",State (Uttar Pradesh),https://sspy-up.gov.in
UP Free Boring Yojana,Financial assistance for boring installation for small farmers.,"Aadhaar Card, Land Records",All,18+,No limit for small/marginal farmers,Not required,Subsidy on boring installation cost,State (Uttar Pradesh),https://upagriculture.com
Sarvajan Pension Yojana,Old age pension scheme for elderly citizens of Uttar Pradesh.,"Aadhaar Card, Age Proof, Income Certificate",All,60+,"Up to Rs 2,00,000",Not required,"Rs 1,000 per month",State (Uttar Pradesh),https://sspy-up.gov.in
Amma Unavagam,Subsidized meal scheme for urban poor in Tamil Nadu.,Not applicable,All,Any age,No limit,Not required,Meals at subsidized price,State (Tamil Nadu),https://www.tn.gov.in
Dr Muthulakshmi Reddy Maternity Benefit Scheme,Financial assistance to pregnant women workers in Tamil Nadu.,"Aadhaar Card, Employment Proof, MCP Card",Female,19+,No limit,Not required,"Rs 18,000 assistance",State (Tamil Nadu),https://tnsocialwelfare.tn.gov.in
Moovalur Ramamirtham Ammaiyar Higher Education Assistance Scheme,Financial assistance to girl students of poor families for higher education.,"Aadhaar Card, Income Certificate, Mark Sheet",Female,Any age,"Up to Rs 2,50,000",Enrolled in higher education,"Rs 1,000-6,000 depending on course",State (Tamil Nadu),https://tnsocialwelfare.tn.gov.in
Naan Mudhalvan Scheme,Skill development and employability enhancement for students in Tamil Nadu.,"Aadhaar Card, Educational Certificate",All,18+,No limit,Enrolled in college,Free skill training and certification,State (Tamil Nadu),https://naanmudhalvan.tn.gov.in
Chief Minister's Comprehensive Health Insurance Scheme,Health insurance coverage for low income families in Tamil Nadu.,"Aadhaar Card, Income Certificate",All,Any age,"Up to Rs 4,00,000",Not required,"Coverage up to Rs 5,00,000 per family",State (Tamil Nadu),https://www.cmchistn.com
Rythu Bandhu Scheme,Investment support to farmers for agricultural inputs in Telangana.,"Aadhaar Card, Land Records",All,18+,No limit,Not required,"Rs 10,000 per acre per year",State (Telangana),https://rythubandhu.telangana.gov.in
Kalyana Lakshmi Scheme,Financial assistance for marriage of girls from poor families in Telangana.,"Aadhaar Card, Caste Certificate, Income Certificate",Female,18+,"Up to Rs 2,00,000",Not required,"Rs 1,00,116 lump sum",State (Telangana),https://kalyanalakshmi.cgg.gov.in
Aasara Pension Scheme,"Social security pension for elderly, disabled and widows in Telangana.","Aadhaar Card, Age Proof, Income Certificate",All,57+,BPL category,Not required,"Rs 2,016-3,016 per month",State (Telangana),https://aasara.telangana.gov.in
KCR Kit Scheme,Nutrition kit and cash assistance for pregnant women in Telangana.,"Aadhaar Card, MCP Card",Female,19+,No limit,Not required,"Rs 12,000-13,000 and nutrition kit",State (Telangana),https://kcrkit.telangana.gov.in
YSR Rythu Bharosa,Financial assistance to farmer families in Andhra Pradesh.,"Aadhaar Card, Land Records",All,18+,No limit,Not required,"Rs 13,500 per year",State (Andhra Pradesh),https://ysrrythubharosa.ap.gov.in
YSR Aarogyasri,Health insurance scheme for BPL families in Andhra Pradesh.,"Aadhaar Card, White Ration Card",All,Any age,"Up to Rs 5,00,000",Not required,"Coverage up to Rs 5,00,000 per family",State (Andhra Pradesh),https://ysraarogyasri.ap.gov.in
Amma Vodi,Financial assistance to mothers for children's school education in Andhra Pradesh.,"Aadhaar Card, School Enrollment, Income Certificate",Female,Any age,"Up to Rs 1,00,000",Child enrolled in school,"Rs 15,000 per year",State (Andhra Pradesh),https://jaganannaammavodi.ap.gov.in
YSR Pension Kanuka,"Social security pension for elderly, disabled and widows in Andhra Pradesh.","Aadhaar Card, Age Proof, Income Certificate",All,60+,BPL category,Not required,"Rs 2,750-10,000 per month",State (Andhra Pradesh),https://ysrpensionkanuka.ap.gov.in
Karunya Health Scheme,Financial assistance for treatment of critical illnesses in Kerala.,"Aadhaar Card, Income Certificate, Medical Records",All,Any age,"Up to Rs 3,00,000",Not required,"Coverage up to Rs 3,00,000",State (Kerala),https://karunyabenevolentfund.kerala.gov.in
Kudumbashree Mission,Poverty eradication and women empowerment programme in Kerala.,Aadhaar Card,Female,18+,No limit,Not required,Micro credit and livelihood support,State (Kerala),https://kudumbashree.org
Bhagyalakshmi Scheme,Financial assistance for girl child born in BPL families in Karnataka.,"Aadhaar Card, Birth Certificate, BPL Card",Female,0-18,BPL category,Not required,"Rs 1,00,000 maturity amount",State (Karnataka),https://ahvahinikaryakramagalu.karnataka.gov.in
Vidyasiri Scholarship,Scholarship for backward class students pursuing higher education in Karnataka.,"Aadhaar Card, Caste Certificate, Income Certificate",All,Any age,"Up to Rs 2,50,000",Enrolled in higher education,"Rs 11,000-16,750 per year",State (Karnataka),https://ssp.postmatric.karnataka.gov.in
Gruha Lakshmi Scheme,Monthly financial assistance to woman head of family in Karnataka.,"Aadhaar Card, Ration Card",Female,18+,No limit,Not required,"Rs 2,000 per month",State (Karnataka),https://gruhalakshmi.karnataka.gov.in
Anna Bhagya Scheme,Free rice distribution to BPL families in Karnataka.,"Ration Card, Aadhaar Card",All,Any age,BPL category,Not required,10 kg free rice per member per month,State (Karnataka),https://ahara.kar.nic.in
Shiv Bhojan Yojana,Subsidized meal scheme for poor in Maharashtra.,Not applicable,All,Any age,No limit,Not required,Meal at Rs 5-10,State (Maharashtra),https://mahafood.gov.in
Majhi Kanya Bhagyashree Yojana,Financial assistance for girl child welfare in Maharashtra.,"Aadhaar Card, Birth Certificate, Income Certificate",Female,0-18,"Up to Rs 1,00,000",Not required,"Rs 50,000-1,01,000 maturity amount",State (Maharashtra),https://womenchild.maharashtra.gov.in
Mahatma Jyotirao Phule Jan Arogya Yojana,Health insurance scheme for economically weaker families in Maharashtra.,"Aadhaar Card, Ration Card",All,Any age,"Up to Rs 1,00,000",Not required,"Coverage up to Rs 1,50,000 per family",State (Maharashtra),https://www.jeevandayee.gov.in
Lek Ladki Yojana,Financial assistance scheme for girl child in Maharashtra.,"Aadhaar Card, Birth Certificate, Income Certificate",Female,0-18,"Up to Rs 1,00,000",Not required,"Rs 75,000 across installments",State (Maharashtra),https://womenchild.maharashtra.gov.in
Kanyashree Prakalpa,Conditional cash transfer to prevent child marriage and promote girl education in West Bengal.,"Aadhaar Card, School Enrollment, Income Certificate",Female,13-19,"Up to Rs 1,20,000",Enrolled in school/college,"Rs 1,000 annual and Rs 25,000 one time",State (West Bengal),https://wbkanyashree.gov.in
Sabuj Sathi Scheme,Free bicycles to students to improve school attendance in West Bengal.,School Enrollment Proof,All,Class 9-12 students,No limit,Enrolled in class 9-12,Free bicycle,State (West Bengal),https://sabujsathi.gov.in
Swasthya Sathi Scheme,Health insurance coverage for all residents of West Bengal.,"Aadhaar Card, Ration Card",All,Any age,No limit,Not required,"Coverage up to Rs 5,00,000 per family",State (West Bengal),https://swasthyasathi.gov.in
Rupashree Prakalpa,One-time financial grant for marriage of economically weak girls in West Bengal.,"Aadhaar Card, Age Proof, Income Certificate",Female,18+,"Up to Rs 1,50,000",Not required,"Rs 25,000 lump sum",State (West Bengal),https://wbcdwdsw.gov.in
Krishak Bandhu Scheme,Financial assistance and insurance coverage for farmers in West Bengal.,"Aadhaar Card, Land Records",All,18-60,No limit,Not required,"Rs 4,000-10,000 per year plus insurance",State (West Bengal),https://krishakbandhu.net
Mukhyamantri Kanya Utthan Yojana,Financial assistance for girl child from birth to graduation in Bihar.,"Aadhaar Card, Birth Certificate",Female,0-21,No limit,Not required,"Rs 54,100 across stages",State (Bihar),https://medhasoft.bih.nic.in
Bihar Student Credit Card Scheme,Education loan facility for higher studies for students of Bihar.,"Aadhaar Card, Admission Proof",All,Any age,No limit,Class 12 pass,"Loan up to Rs 4,00,000",State (Bihar),https://www.7nishchay-yuvaupmission.bihar.gov.in
Mukhyamantri Kanya Vivah Yojana Bihar,Financial assistance for marriage of girls from poor families in Bihar.,"Aadhaar Card, Income Certificate",Female,18+,BPL category,Not required,"Rs 5,000-6,000 assistance",State (Bihar),https://state.bihar.gov.in
Ladli Laxmi Yojana,Financial assistance scheme for girl child welfare in Madhya Pradesh.,"Aadhaar Card, Birth Certificate",Female,0-21,No limit,Not required,"Rs 1,43,000 across installments",State (Madhya Pradesh),https://ladlilaxmi.mp.gov.in
Sambal Yojana,Social security scheme for unorganized workers in Madhya Pradesh.,"Aadhaar Card, Labour Card",All,18-60,No limit,Not required,"Insurance, pension and welfare benefits",State (Madhya Pradesh),https://sambal.mp.gov.in
Mukhyamantri Medhavi Vidyarthi Yojana,Fee reimbursement for meritorious students in Madhya Pradesh.,"Aadhaar Card, Mark Sheet, Income Certificate",All,Any age,"Up to Rs 6,00,000",Class 12 with 70 percent marks,"Fee reimbursement up to Rs 1,50,000",State (Madhya Pradesh),https://mmvy.mp.gov.in
Mukhyamantri Tirth Yatra Yojana,Free pilgrimage travel scheme for senior citizens in Madhya Pradesh.,"Aadhaar Card, Age Proof",All,60+,No limit,Not required,Free pilgrimage travel and accommodation,State (Madhya Pradesh),https://mptirthdarshan.mp.gov.in
Bhamashah Yojana,Financial inclusion and direct benefit transfer scheme in Rajasthan.,"Aadhaar Card, Bhamashah Card",All,Any age,No limit,Not required,Direct benefit transfer of subsidies,State (Rajasthan),https://bhamashah.rajasthan.gov.in
Mukhyamantri Rajshri Yojana,Financial assistance for girl child from birth to class 12 in Rajasthan.,"Aadhaar Card, Birth Certificate",Female,0-18,No limit,Enrolled in school,"Rs 50,000 across installments",State (Rajasthan),https://wcd.rajasthan.gov.in
Anuprati Yojana,Financial assistance to SC/ST/OBC students clearing competitive exams in Rajasthan.,"Aadhaar Card, Caste Certificate, Admission Proof",All,Any age,"Up to Rs 8,00,000",Selected in competitive exam,"Rs 10,000-1,20,000 assistance",State (Rajasthan),https://sje.rajasthan.gov.in
Kalibai Bheel Scholarship,Scholarship for tribal girl students in Rajasthan.,"Aadhaar Card, Tribal Certificate, Mark Sheet",Female,Any age,No limit,Class 10 pass with 50 percent marks,Free scooty or cash incentive,State (Rajasthan),https://sje.rajasthan.gov.in
Ladli Beti Yojana,Financial assistance scheme for girl child welfare in Haryana.,"Aadhaar Card, Birth Certificate",Female,0-18,No limit,Not required,"Rs 21,000 fixed deposit",State (Haryana),https://wcdhry.gov.in
Chirayu Yojana,Health insurance scheme for low income families in Haryana.,"Aadhaar Card, Income Certificate",All,Any age,"Up to Rs 1,80,000",Not required,"Coverage up to Rs 5,00,000 per family",State (Haryana),https://chirayuayushmanharyana.in
